,TxGrowth,AddressCount,BlockTime,AvgGasPrice,NetworkHash,TransactionFee,BlockReward,count,likes_avg,retweets_avg,sentiment_avg,PriceChange
2019-07-28,0.42368717469955014,0.7810051293014056,0.014351320321469577,0.0037834452188266164,0.5960335813266239,0.04370824750144528,0.12420110678261533,136.0,52.11764705882353,155.11764705882354,0.14945735294117646,0
2019-07-29,0.5010236837636562,0.7820136138869598,0.021814006888633698,0.0054459744756834285,0.5934446632506253,0.058481617660547894,0.12134604577622418,227.0,109.85903083700441,101.23788546255508,0.22644273127753303,1
2019-07-30,0.5297891604458382,0.7829407979443803,0.008036739380022894,0.006072414065681432,0.6092017686169889,0.064099729047428,0.13104468087132937,231.0,48.96969696969697,87.84848484848484,0.23846147186147185,0
2019-07-31,0.5064324120303049,0.7838994848648774,0.018943742824339846,0.006236993075801605,0.5910621452870765,0.06896917339138488,0.12260093914600577,242.0,68.96694214876032,37.78512396694215,0.29055000000000003,1
2019-08-01,0.6498141352152406,0.784655815556784,0.02755453501722151,0.011801019041478056,0.5852726908578552,0.11972897920401582,0.1229557382201945,299.0,126.3010033444816,75.76923076923076,0.2725183946488294,0
2019-08-02,0.5687417921769946,0.785520234034617,0.008036739380022894,0.008047962159686065,0.5949162032313975,0.08309108340543747,0.13230195544295117,252.0,48.76587301587302,122.76190476190477,0.1948829365079365,1
2019-08-03,0.5799982351558439,0.7863735511916776,0.010907003444316849,0.011044655362221455,0.6027735774279867,0.09710526312288359,0.12841107163607615,160.0,80.58125,22.7,0.207963125,1
2019-08-04,0.4210450991835,0.7874205902167281,0.014925373134328348,0.00331316615081004,0.610658968298481,0.04389290945323684,0.1254679061615979,125.0,67.648,125.68799999999999,0.04443359999999998,1
2019-08-05,0.5317586672015578,0.7883588428476619,0.012629161882893163,0.005245069179154986,0.61910102517326,0.06177057847857406,0.12740144205583442,217.0,123.7281105990783,104.13364055299542,0.1352483870967742,1
2019-08-06,0.5418538723869369,0.7895303651196021,0.014351320321469577,0.005196628561394425,0.6177067925252183,0.06729873268462698,0.12564649629961233,271.0,94.39114391143913,230.36162361623616,0.16688966789667894,0
2019-08-07,0.549584334709368,0.7905189066244769,0.012055109070034391,0.004738607160179586,0.6227270114767317,0.06263419116499243,0.1289920848850832,217.0,226.01382488479263,502.6958525345622,0.21486313364055296,0
2019-08-08,0.5126998333779488,0.791356570591776,0.02123995407577493,0.0060439995599129975,0.6180440003307143,0.06574590782638196,0.12253902789816076,185.0,69.22162162162162,180.30270270270267,0.1890805405405405,0
2019-08-09,0.5342235167708395,0.7922645320082133,0.01607347876004589,0.006395122576365459,0.6119315712343222,0.06932419071102221,0.12327005686309994,250.0,45.016000000000005,29.248,0.2136632,0
2019-08-10,0.46686801709377623,0.793225260174516,0.006888633754305352,0.005240826884490536,0.6291468643940752,0.05396382966258677,0.13053510367752813,144.0,54.319444444444436,549.8333333333334,0.13161666666666666,0
2019-08-11,0.4309615953597946,0.794242717509013,0.01607347876004589,0.00459418785780855,0.613961859589987,0.04807693269933104,0.12302479307356008,162.0,127.75308641975307,104.87037037037035,0.12761913580246914,1
2019-08-12,0.5276884026751478,0.7953840358924803,0.006888633754305352,0.00596424428528154,0.6234211717472166,0.06387322642970919,0.1285658497556887,189.0,56.79894179894179,288.12698412698415,0.21435079365079354,0
2019-08-13,0.5171008208008389,0.7965053457007505,0.01722158438576343,0.012359655942797972,0.6215796381174753,0.07455698477622343,0.1241772947642134,220.0,45.80454545454546,674.2636363636364,0.18303090909090908,0
2019-08-14,0.5452612080580708,0.7974205879244199,0.013203214695751933,0.0051521505825523435,0.6177677241766182,0.07137583043523633,0.12853965653544658,198.0,58.373737373737384,147.96464646464648,0.21647222222222226,0
2019-08-15,0.5099858293395702,0.7983022751234542,0.019517795637198618,0.007323487043313805,0.6178406892933647,0.08359334013638324,0.12201516349331835,184.0,157.90217391304347,93.2391304347826,0.13466304347826086,1
2019-08-16,0.5320827163176156,0.7991817245931292,0.010332950631458079,0.005142801376698584,0.6174154117471758,0.06409832353946687,0.12827772433302537,241.0,69.81742738589212,47.57676348547718,0.2186020746887966,0
2019-08-17,0.4744145796890167,0.8000799819051746,0.010332950631458079,0.003484415219814858,0.6304004126247108,0.04782265409231524,0.12728952556934536,260.0,58.30769230769231,62.69230769230769,0.2211534615384616,1
2019-08-18,0.4641473392749753,0.8009534495422211,0.01664753157290466,0.003983489144679242,0.6066636600457802,0.04903934178010359,0.12397013020411662,231.0,69.32467532467533,85.46320346320347,0.1584848484848485,1
2019-08-19,0.5362249093663543,0.801738270349384,0.022962112514351242,0.0069500322861776225,0.6079794458040592,0.07741724872903256,0.12101982112411777,229.0,75.79912663755458,23.803493449781662,0.24843100436681226,1
2019-08-20,0.5429424401269205,0.8026166937382798,0.015499425947187118,0.0068771371070618864,0.6040557839460687,0.07922862124673682,0.1264180056958348,234.0,71.44444444444444,397.58547008547015,0.2584982905982906,0
2019-08-21,0.541444547187706,0.8035811660078519,0.011481056257175621,0.009457544755123237,0.5999377547648812,0.09458668371036956,0.1267108935221785,250.0,44.22,118.036,0.1196384,0
2019-08-22,0.5456297490436102,0.804368202712868,0.020091848450057386,0.007946531220994351,0.5786593380463697,0.08260838896104783,0.12013163283772586,299.0,44.755852842809375,158.7625418060201,0.17391337792642134,1
2019-08-23,0.54276595571131,0.8051799526826123,0.009184845005740537,0.007041364361968393,0.6000449400592713,0.07725357139935832,0.1299493280248407,236.0,58.64406779661017,95.2415254237288,0.14859830508474575,1
2019-08-24,0.5063960770035616,0.8060345797300297,0.029850746268656695,0.006008781980881024,0.5847287928954321,0.0660460754505377,0.11372858108944747,133.0,81.51127819548874,1753.984962406015,0.23473157894736846,0
2019-08-25,0.5012238971763235,0.8068827009886758,0.0005740528128587709,0.006977428885748647,0.590588914396693,0.0863410605244997,0.1336163788587376,114.0,78.48245614035088,1390.728070175439,0.15931578947368424,0
2019-08-26,0.5557894674397376,0.8076350365149948,0.024684270952927655,0.010480914390098305,0.5983230254371241,0.10701224843793429,0.1215984531712846,146.0,232.73972602739727,191.45890410958904,0.27329452054794523,1
2019-08-27,0.5537969732181192,0.8083449861725245,0.01722158438576343,0.007854318771400982,0.5757794316651007,0.08414579133969562,0.12327243806494013,193.0,122.38860103626943,513.4041450777202,0.18558549222797932,0
2019-08-28,0.534594282349853,0.8091025721760229,0.01607347876004589,0.007901945764431723,0.58690408354509,0.08623813187702806,0.12624179675966055,240.0,55.2,49.6625,0.21395083333333328,0
2019-08-29,0.5360232128913709,0.8098395929009226,0.0057405281285878105,0.008207234539144044,0.6055822728193087,0.0873300879551491,0.13139709874367791,149.0,53.5234899328859,776.1677852348995,0.2083993288590604,0
2019-08-30,0.5278700778088644,0.8104989371276753,0.011481056257175621,0.007897383418968725,0.6097725355831526,0.08446406330335847,0.12641324329215442,191.0,64.09424083769632,327.0785340314136,0.2317219895287958,0
2019-08-31,0.5030873649764452,0.8111483698507296,0.0177956371986222,0.007252395981323587,0.6013288821115583,0.07498371568221068,0.12481783805922525,81.0,75.64197530864197,87.23456790123457,0.1592111111111111,1
2019-09-01,0.5108452639517234,0.8117517162647372,0.015499425947187118,0.00795590042432455,0.5969665012755417,0.07707652065820972,0.12416538875501243,99.0,115.0,300.5555555555556,0.16567171717171714,0
2019-09-02,0.5607532770115701,0.81238127140163,0.014351320321469577,0.009231565543976309,0.6034676687368474,0.09516757755612237,0.12670136871481774,114.0,165.26315789473685,65.85964912280701,0.2262991228070176,1
2019-09-03,0.5560705077486299,0.8131015364457179,0.020665901262916158,0.008155355709124635,0.6049761430760444,0.09331712738435559,0.12111983160140587,150.0,166.88,44.60666666666667,0.272338,1
2019-09-04,0.5287880933825018,0.8137435027937396,0.014351320321469577,0.008022753144377918,0.5915532510980187,0.09067734542838947,0.1203816590309461,239.0,101.80753138075312,237.67364016736406,0.19437824267782425,0
2019-09-05,0.5698985807835166,0.8144878698203892,0.012055109070034391,0.012031680381287779,0.6020246859674159,0.1157787188795891,0.12676327996266276,227.0,70.22026431718062,208.14096916299562,0.20427444933920705,0
2019-09-06,0.5688812000347037,0.8151970007964461,0.018943742824339846,0.01200365772544265,0.5835979733683683,0.12369061058183294,0.12409395269980665,241.0,72.35684647302905,56.35269709543569,0.24762614107883815,0
2019-09-07,0.5013610804405585,0.8157935685278582,0.014351320321469577,0.011067609816791436,0.6118762511660545,0.11487110430598378,0.12561077827200945,176.0,52.67613636363637,113.8068181818182,0.20205170454545454,1
2019-09-08,0.49964962652783224,0.8163877238778636,0.018943742824339846,0.012023640892685183,0.6097755580629589,0.12311801094065138,0.12241282420063054,138.0,101.28260869565216,495.8768115942029,0.13069492753623188,1
2019-09-09,0.5599887583876443,0.8170681245920988,0.013777267508610806,0.014130120105440838,0.5984001762540118,0.141178731280813,0.12256760232024308,155.0,78.89032258064516,28.929032258064517,0.21758387096774195,0
2019-09-10,0.5118700600121167,0.8176870587013501,0.02123995407577493,0.01564865300070732,0.6026815538875158,0.15561214280326094,0.12161035918048557,268.0,43.548507462686565,20.044776119402982,0.24457686567164175,0
